date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:36	18249/18249	---MC-	200	added ('OK')	text/html	etag:W/%228b7437638e3f2a029eb41bd67b9b5d70%22	https://support.frame.io/en/articles/1161479-review-links-explained-for-clients	D:/Temp/frameio/frame%20io%20guide/support.frame.io/en/articles/1161479-review-links-explained-for-clients.html	(from )
17:34:36	54/54	---M--	200	added ('OK')	text/plain	etag:%225e304508-36%22	https://support.frame.io/robots.txt		(from )
17:34:36	52131/52131	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Jul%202019%2015:41:44%20GMT	https://static.intercomassets.com/alexandria/assets/application-00b67c7c87b72734807679ffe67cf68adf711566c397121c5d3432b6d9ff1657.css	D:/Temp/frameio/frame%20io%20guide/static.intercomassets.com/alexandria/assets/application-00b67c7c87b72734807679ffe67cf68adf711566c397121c5d3432b6d9ff1657.css	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:37	29659/29659	---MCZ	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202017%2014:30:42%20GMT	https://downloads.intercomcdn.com/i/o/10664/becefda773107e159e180cf9/mstile-150x150.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/10664/becefda773107e159e180cf9/mstile-150x150.png_;%20filename_=UTF-8''mstile-150x150.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:37	7489/7489	---MCZ	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202017%2014:33:11%20GMT	https://downloads.intercomcdn.com/i/o/10665/e0a3f2d530dec840274993ed/white_lockup.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/10665/e0a3f2d530dec840274993ed/white_lockup.png_;%20filename_=UTF-8''white_lockup.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:37	5001/5001	---M--	200	added ('OK')	image/jpeg	etag:%22c568f307c64e8be42990894e3f45633f%22	https://static.intercomassets.com/avatars/424435/square_128/brett_sm_37kb-1529944339.jpg?1529944339	D:/Temp/frameio/frame%20io%20guide/static.intercomassets.com/avatars/424435/square_128/brett_sm_37kb-15299443393788.jpg	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:38	450048/450048	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202017%2021:36:53%20GMT	https://downloads.intercomcdn.com/i/o/6212/ebd38197bf884b1df0c2c69e/support+page+header+%402x.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/6212/ebd38197bf884b1df0c2c69e/support%20page%20header%20%402x.png_;%20filename_=UTF-8''support%20page%20header%20%402x.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:38	14774/14774	---MCZ	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2011:20:11%20GMT	https://downloads.intercomcdn.com/i/o/119549973/10d9ecd6d024b6defe0c2110/Screenshot+2019-05-07+at+12.13.11.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/119549973/10d9ecd6d024b6defe0c2110/Screenshot%202019-05-07%20at%2012.13.11.png_;%20filename_=UTF-8''Screenshot%202019-05-07%20at%2012.13.11.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:39	53824/53824	---MCZ	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2011:20:11%20GMT	https://downloads.intercomcdn.com/i/o/119549724/2ea025c619e61b2b9d485858/Screenshot+2019-05-07+at+12.11.40.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/119549724/2ea025c619e61b2b9d485858/Screenshot%202019-05-07%20at%2012.11.40.png_;%20filename_=UTF-8''Screenshot%202019-05-07%20at%2012.11.40.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:39	3790863/3790863	---MCZ	200	added ('OK')	image/gif	date:Tue,%2007%20May%202019%2016:13:33%20GMT	https://downloads.intercomcdn.com/i/o/119643859/1128035d5ebfd4a9920201f2/d4a95decdca72d6d3804f3686fde7d20.gif	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/119643859/1128035d5ebfd4a9920201f2/d4a95decdca72d6d3804f3686fde7d20.gif_;%20filename_=UTF-8''d4a95decdca72d6d3804f3686fde7d20.gif	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
